country,2010年,2011年,2012年,2013年,2014年,2015年,2016年
Afghanistan,46.53680914,50.48396035,50.65394536,50.96883112,49.03609087,62.08023415,62.85485658
Albania,15.33569009,14.64613525,14.562992,15.6359167,16.74886183,14.7365482,14.63400837
Algeria,26.7093491,27.49707477,28.20943917,31.00985419,33.0806268,37.03572791,37.23095588
American Samoa,3.368691428,3.255183638,3.377270828,3.457884807,3.634140139,3.790378501,3.763411508
Andorra,11.11580842,11.23066635,11.25443241,10.94268417,10.66769454,10.90893447,10.87947242
Angola,30.92171586,31.80065678,33.40704991,33.50705108,35.33104842,35.78846911,36.24047917
Antigua and Barbuda,13.37421829,13.61344187,13.71104398,14.0147651,13.76841839,15.51769564,15.68594257
Arab World,63.79172522,63.14856739,63.80139284,63.39154132,62.99461423,81.93662962,83.15146329
Argentina,14.2241786,14.06185915,14.07585428,13.57720909,13.64364654,14.11720297,14.14816717
Armenia,25.72082755,25.8609024,24.03591654,24.66518487,25.06870215,27.13203707,26.97289332
Australia,5.937561281,5.880918943,5.981776157,6.028237909,5.933055205,6.109837979,6.126806421
Austria,15.1477555,14.93395807,15.24744732,15.94362212,16.46606703,15.03228858,14.96518831
Azerbaijan,26.22382242,25.22813065,24.681045,26.5519093,28.36897873,32.65922495,32.97762008
Bahamas,12.31265712,12.7668027,13.35162332,13.74327046,13.64473076,12.93355443,12.79114179
Bahrain,66.81030389,63.31228941,67.57613398,66.62046381,60.35661272,79.12774701,79.69099954
Bangladesh,82.40414563,82.78024193,82.9398343,88.52642612,87.11853497,100.3238146,101.0171569
Barbados,14.76971027,14.88203799,15.15376953,15.05994018,15.20428902,18.1492246,18.41481258
Belarus,20.21309574,19.69779325,18.51193346,19.51546321,19.97237412,19.7445253,19.79873107
Belgium,16.30820726,16.29578318,15.88155906,15.90143934,15.79653476,16.01927717,16.04343237
Belize,21.02007611,21.73395175,25.3678794,24.42474339,25.46838109,20.36844828,20.18159894
Benin,42.47946042,45.74441674,45.12260434,41.32547366,38.2630494,90.46634825,95.96032285
Bermuda,9.451374,9.605679215,9.558182271,9.103641236,9.08911908,10.328921,10.47401764
Bhutan,50.05939668,48.90238796,49.98335508,54.48027601,54.24117817,55.80654396,55.79888972
Bolivia,28.61932141,30.3233561,27.0171889,27.79415398,28.38424935,22.26758233,22.04269225
Bosnia and Herzegovina,38.11552561,37.44573485,38.0361726,41.61156553,44.18994917,39.53292557,39.27178089
Botswana,18.96893914,19.81301479,19.04939926,18.51785155,17.98942923,22.81560495,23.13720408
Brazil,10.964792,11.47912947,11.21168102,11.43926731,11.31905415,12.58115341,12.65285893
Brunei,6.380134763,6.228895064,6.210097584,6.176909898,5.656721403,6.372126446,6.429309073
Bulgaria,26.86278911,26.97450393,25.72830266,26.7178767,27.55988102,25.67960257,25.64668767
Burkina Faso,60.97136397,62.73880902,54.94570946,49.58773004,44.10530982,104.8944257,110.7308018
Burundi,40.18027677,44.086442,47.43151199,48.13933302,47.08506861,46.45019464,46.28293462
Cambodia,24.56277158,25.20998542,26.1798804,27.31352319,27.68785144,26.16182574,26.14133409
Cameroon,72.27055642,75.54387737,75.04002265,73.84895647,69.50826883,134.7937498,139.7057901
Canada,7.267054292,7.338116721,7.30485743,7.273831212,7.206178542,7.514347762,7.525224482
Cape Verde,34.5617685,38.92659343,45.18200834,43.87494127,42.09588617,64.96636654,66.64177108
Caribbean small states,13.97940724,14.65776143,15.75655852,16.67540933,16.48883736,16.81613984,16.84509139
Central African Republic,45.90694691,49.36839837,52.99072468,49.63058202,47.79015156,65.56322255,66.32023289
Central Europe and the Baltics,23.16027606,22.71361918,21.20218399,21.70679737,22.21148923,22.20034764,22.21974895
Chad,56.34915851,57.06851932,56.2977302,53.19448734,49.21601888,91.67430903,95.6736091
Chile,21.31991697,21.37315064,21.52125386,21.16028508,21.12101701,21.94296815,21.9671149
China,58.17330798,57.10767823,57.33880398,56.80755997,57.92738767,56.40226181,56.33014796
Colombia,16.68991058,17.69859584,17.31062928,18.35821222,17.67678909,17.11017315,17.11938773
Comoros,16.82916615,17.28031378,17.2831699,17.48157752,17.11820358,19.03326428,19.14635158
Congo,49.419361,48.75708359,51.24946775,51.9290625,53.17355571,56.86638933,55.83271511
Costa Rica,14.434751,15.31328615,16.48717769,18.55867601,18.37695382,18.54336032,18.53054595
Cote d'Ivoire,28.64256306,31.94194344,33.10861058,28.93318658,26.27654966,55.25302391,57.77137282
Croatia,17.5707472,16.89822007,17.24773194,18.67393754,20.09968777,19.84435617,19.81560787
Cuba,15.47623754,16.38335561,17.84825625,18.29517356,18.14566209,16.70338633,16.6241175
Cyprus,15.39468129,15.23383823,15.09295395,16.28787754,17.23243342,17.89852069,17.86639632
Czech Republic,20.21337971,19.78878809,18.72439615,19.80289285,20.59744294,19.26133829,19.17869055
Democratic Republic of Congo,41.7504885,44.36907214,46.59725112,46.85344511,46.57451961,55.8983428,56.27516385
Denmark,10.42061374,10.26972801,10.05907321,10.34388323,10.67712133,10.36485237,10.32874421
Djibouti,45.38485761,48.43764838,52.31922362,51.22650686,50.87220272,71.0906143,71.70929766
Dominica,14.1285238,14.35882046,14.22729619,14.11124235,13.65825757,16.78668336,16.87333694
Dominican Republic,21.13667286,16.91944769,23.13019687,24.14629265,17.81656556,23.03187392,23.69819597
Early-demographic dividend,50.99940702,50.96956035,52.13711231,53.97559544,55.00651638,60.70343994,61.05770377
East Asia & Pacific,43.38382383,42.68906974,42.9344086,42.88109146,43.58427333,42.66491235,42.59346063
East Asia & Pacific (IDA & IBRD),46.79070854,46.09263617,46.30338292,46.15306952,46.84965528,45.70240428,45.60601685
East Asia & Pacific (excluding high income),46.59398957,45.88454056,46.10221838,45.97061541,46.67429113,45.57948371,45.48638831
Ecuador,14.25791705,16.50988467,15.89743296,15.98247769,13.81624759,13.14030724,13.1676851
Egypt,90.39277858,89.03487372,88.48692422,95.0964039,99.342872,124.8751272,126.0282315
El Salvador,31.39233355,33.48068947,37.90432737,36.60092575,36.82375177,33.62477089,33.38600558
Equatorial Guinea,42.81012868,46.5631495,46.1882722,45.71519832,46.69405811,69.06831572,71.17976196
Eritrea,42.1165912,43.42152387,45.50252366,43.89339022,43.84186008,50.17587135,50.51448122
Estonia,8.207549989,7.888997497,7.131966468,8.187581003,8.722447982,6.044276118,5.928305245
Ethiopia,34.07070547,36.18446732,37.4672798,36.60847156,36.30068316,48.87739462,49.73530571
Euro area,13.05393014,12.95206926,12.8265325,13.40074489,13.76911992,13.07390299,13.03646873
Europe & Central Asia,18.23222406,17.96636399,17.57533816,18.22855963,18.80083007,19.05745626,19.11012533
Europe & Central Asia (IDA & IBRD),23.56582977,23.12349709,22.44771016,23.26840723,24.07028687,25.22127922,25.35797691
Europe & Central Asia (excluding high income),23.25871321,22.82358583,22.31976956,23.18144783,24.0420204,25.24440516,25.39188267
European Union,14.68981435,14.53639633,14.17843907,14.63449785,14.96850364,14.43981618,14.4043873
Fiji,6.894881454,6.645543004,6.929211802,7.558222379,7.21266699,7.463997201,7.658563742
Finland,7.053497676,6.847406326,6.581156469,6.903110324,7.121725297,6.277478339,6.234267477
Fragile and conflict affected situations,44.18531936,45.16118722,45.83644179,44.43690098,43.04244374,54.75659188,55.6189291
France,12.24452775,12.21226676,12.26243778,12.29292695,12.33371972,11.89114342,11.8693378
Gabon,34.68608642,36.03952388,36.33613926,36.82280925,38.37100273,46.8493988,47.39460459
Gambia,60.8082427,61.33203144,57.61659951,62.3219572,59.44258905,93.52615251,95.04387071
Georgia,20.18089114,19.82876918,18.24222763,19.27200038,19.95653533,20.65877042,20.73469811
Germany,13.70080248,13.67664135,13.29677582,13.65809,13.86757086,13.47877046,13.45779609
Ghana,27.36923467,29.82649418,31.14770733,27.54062519,25.35736494,52.08164538,54.24258644
Greece,11.65492906,11.42753118,11.19010465,12.03058428,12.68018933,11.3746771,11.29831318
Greenland,4.891647643,4.955245749,4.902755307,5.173268153,5.207844433,4.119723625,4.0711839
Grenada,13.80401364,13.49248188,13.86777702,14.54433349,14.52271548,17.88376265,18.498453
Guam,7.512690751,7.585462949,7.731071453,8.017588922,7.503810012,8.601228603,8.591184589
Guatemala,28.8113768,29.3440755,33.39399256,32.89876199,33.22722384,28.70501653,28.5220862
Guinea,29.85396369,31.56254677,29.80558077,27.59389372,24.97530824,44.54593968,46.14092124
Guinea-Bissau,37.16174193,38.00647417,35.24015628,35.26529394,33.99979416,57.0180113,59.16484482
Guyana,15.11364962,16.40741283,17.89131994,18.69227081,17.91682885,19.72081463,19.74407395
Haiti,22.58133699,23.41178365,24.0334571,25.1970746,25.18378266,23.61471928,23.54804717
Heavily indebted poor countries (HIPC),39.76498762,42.03783095,42.34933829,40.91903347,39.37122247,57.97667885,59.57101787
High income,16.67955541,16.5860562,16.82706186,16.82292027,16.80553855,19.24790522,19.50299971
Honduras,32.04558647,33.99040551,39.3399096,36.93455995,37.23794039,29.80712654,29.49751121
Hungary,22.83025798,21.75244968,20.76121955,20.93673978,21.9559999,24.43899041,24.57068163
IBRD only,46.34524278,45.79098623,46.38798155,47.28461154,48.43303254,49.99920327,50.12143683
IDA & IBRD total,46.7201487,46.6839369,47.15478952,47.77424719,48.28865058,54.61365975,55.20093392
IDA blend,49.81924996,51.50278179,50.38924702,49.39677049,47.55868394,81.21285147,84.39924063
IDA only,46.99994529,48.55593646,49.17122679,49.25216948,47.98659757,62.36221927,63.46949527
IDA total,47.93086253,49.52990218,49.5753169,49.30017381,47.84444936,68.62731784,70.42785816
Iceland,7.825275273,7.726058355,7.666083737,7.612809419,7.70742701,7.328427794,7.29839004
India,64.6018316,63.86713075,66.06940362,68.95144345,71.6126213,75.58285651,75.80079116
Indonesia,14.48777295,14.83012943,14.9313054,15.55720964,15.22209,16.66132887,16.74598218
Iran,48.09895954,46.63054868,45.37709499,44.7825929,43.6716967,48.62328795,48.95476643
Iraq,90.64910085,83.90684401,78.5580789,66.25433245,58.86071758,72.28199895,73.25872705
Ireland,9.300440639,9.337308141,9.570871974,9.618334486,9.709258896,9.188586923,9.168633218
Israel,17.85970443,17.58477089,17.76826385,18.708741,19.70924373,18.76107386,18.6846113
Italy,14.65365787,14.38544874,14.56317325,16.64526049,17.90856333,15.6038313,15.48360452
Jamaica,13.66214002,14.39382648,15.6580613,17.04800504,16.79429168,15.12454409,15.07163593
Japan,12.3396445,11.78769301,11.97395136,12.40134558,12.88270204,13.14884605,13.15839601
Jordan,36.03160521,34.77712659,34.64811225,35.45866731,37.0992709,37.25146683,37.21426017
Kazakhstan,16.88057431,17.19136369,18.16313295,18.29790032,19.16547877,19.62140375,19.65590442
Kenya,15.05463734,16.11074162,16.65150096,16.72335939,16.52198912,16.27427954,16.29493079
Kiribati,3.4420423,3.366325147,3.29089287,3.290815768,3.40083002,4.050094212,4.08635963
Kuwait,104.6374775,102.6828338,103.7015762,87.17466011,76.9328313,109.0799096,110.9572166
Kyrgyzstan,15.87360177,15.84163591,16.1688653,15.95097184,16.76414647,17.82394854,17.91030372
Laos,28.02978927,28.62081501,28.97799878,30.86139418,31.06990721,27.90868457,27.67258925
Late-demographic dividend,43.369909,42.71320727,42.79883885,42.63107391,43.34866923,42.74563079,42.72356042
Latin America & Caribbean,17.20849436,17.83017063,18.26348112,18.29834038,17.88566983,17.73414894,17.76621948
